location,1564579279,(38.754684653, -9.146906735),212.21666026022285,4.9
device,1564579286,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579286,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579315,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579315,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579317,C8:B9:61:02:4C:FE,"1:00hN",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579346,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579357,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579376,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579377,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579405,C8:B9:61:02:4C:FE,"1:00hN",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579407,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579416,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579435,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579435,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579447,C8:B9:61:02:4C:FE,"1:00hN",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579466,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579466,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579496,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579506,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579527,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579528,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579556,49:5F:C9:29:EE:17,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579556,44:87:D3:B3:2C:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564579557,4E:92:AE:2B:D5:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
