location,1564649809,(38.697408070, -9.205861713),56.2702366331153,16.0
device,1564649815,7F:E7:F5:DA:74:57,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,50:E2:40:53:1F:2D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,63:A3:D5:11:6B:C4,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,58:B0:18:31:03:9A,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,46:2A:A8:F0:5A:24,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,55:27:BA:91:7C:00,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,78:67:DB:7B:04:97,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,47:2B:E3:10:E9:0D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,68:1A:5F:30:97:A8,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,51:3E:C8:36:68:9A,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,4C:88:26:99:EA:86,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,6B:69:B9:92:CF:26,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,45:44:6C:DF:AC:86,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649815,53:78:2A:47:68:18,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649816,49:F2:D8:F9:9D:23,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649816,51:C3:9E:B7:70:1F,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649816,5F:17:69:73:BE:9A,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649816,55:70:21:AB:EB:96,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649817,55:B8:0A:4B:C6:65,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649817,5F:06:AB:2E:3E:4D,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649818,54:E3:9F:22:BE:8C,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649818,55:C0:2F:D3:2F:2F,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649818,41:85:A2:ED:7E:C1,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649818,5B:70:80:38:35:BA,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649820,5C:E3:50:81:DB:C5,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649821,24:2E:02:53:53:CF,"TRANSPORT57167",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1564649821,4B:F5:5D:DB:AD:66,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649821,6B:4E:45:E2:EC:D1,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649821,4C:E6:CA:AB:63:90,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649822,6A:99:B8:FC:DF:F9,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649823,5D:2C:E6:AF:8D:74,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649823,52:22:75:AA:A5:DA,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649823,5B:C5:43:D9:A4:31,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649825,5B:4C:53:A5:CA:34,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649825,E1:88:36:EA:E2:38,"D3500_6138797",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649825,6E:6E:A2:6B:33:9E,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564649825,4E:6D:70:8D:26:0A,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
