location,1564918295,(38.708553182, -9.136949155),94.62421772815287,4.9
device,1564918294,98:09:CF:1B:41:F8,"OnePlus 6T",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1564918295,D8:32:E3:04:D7:8C,"Redmi",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1564918296,E4:A7:C5:DC:F7:38,"amaliasantiagomoronfeliz@gmail",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1564918299,A8:9C:ED:31:DC:64,"Redmi",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1564918302,43:BA:33:75:2A:9F,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918302,7D:52:16:7F:26:DB,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918302,C0:28:8D:4D:F5:30,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918302,66:A2:89:1B:8A:96,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918303,71:6C:2F:51:B4:96,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918303,6A:E9:07:E5:2F:DD,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918303,76:67:3C:90:F5:28,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918303,64:91:BA:5E:24:FE,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918303,76:28:4D:3F:98:2A,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918303,56:E5:E9:DA:74:C7,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918303,66:13:61:BB:DF:84,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918304,50:E1:4C:8F:66:66,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918304,69:ED:B5:85:31:54,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918304,50:3A:71:14:A1:6A,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918312,7E:50:2D:B4:C5:EC,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918312,50:03:49:6F:3D:B5,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918312,7F:B6:11:B8:7C:21,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918314,44:50:4E:9F:E9:7C,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918314,41:F9:5C:4B:FA:02,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564918314,6E:71:5F:D1:93:DB,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
