location,1566215602,(38.762572656, -9.094202435),90.27859390154481,4.9
device,1566215597,A4:50:46:25:80:18,"null",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1566215599,A4:71:74:84:9B:2E,"null",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1566215600,6A:80:B3:5A:73:73,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215600,5A:83:B0:A1:70:49,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215600,60:37:27:56:04:1B,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215600,72:30:4F:29:54:4F,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215600,40:6A:EF:EE:82:06,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215601,46:3C:2D:5E:AA:DE,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215601,5C:34:C3:89:A3:C3,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215601,5A:0A:8B:19:28:28,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215601,4E:6C:21:88:5E:FF,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215602,7E:9E:53:ED:2C:6B,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215602,6F:D3:CE:E1:9A:F4,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215602,4C:39:C3:7A:4E:81,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215604,70:3A:51:86:36:28,"null",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1566215607,F4:60:E2:A6:DE:6B,"null",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1566215610,4F:0F:01:E1:50:C4,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215611,5A:EF:4D:96:FD:10,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215611,43:A8:89:0B:DA:73,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215611,62:C5:EF:D6:02:96,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215611,53:B9:61:BF:C0:20,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215611,68:29:1A:56:18:36,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215611,55:DE:59:31:8D:70,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215611,55:63:7E:27:21:1A,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215612,41:6B:9F:FA:51:B2,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215613,61:06:4F:CE:4F:76,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215653,D4:67:D3:26:FB:9C,"null",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1566215653,A4:50:46:25:80:18,"POCOPHONE_Javi",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1566215660,5A:0A:8B:19:28:28,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215660,5C:34:C3:89:A3:C3,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215660,62:C5:EF:D6:02:96,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215660,70:6A:07:60:52:E0,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215661,4E:13:8F:3F:B6:AD,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215661,6A:80:B3:5A:73:73,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215661,41:E8:76:A6:CD:45,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1566215661,41:6B:9F:FA:51:B2,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
